150_90_accumulated_energy,450_90_accumulated_energy,150_355_accumulated_energy,270_235_accumulated_energy,450_355_accumulated_energy,560_235_accumulated_energy,270_500_accumulated_energy,560_500_accumulated_energy
100,100,100,100,100,100,100,100
200,200,200,200,200,200,200,200
300,300,300,300,300,300,300,300
400,400,400,400,400,400,400,400
500,500,500,500,500,500,500,500
600,600,600,600,600,600,600,600
700,700,700,700,700,700,700,700
800,800,800,800,800,800,800,800
900,900,900,900,900,900,900,900
1000,1000,1000,1000,1000,1000,1000,1000
1100,1100,1100,1100,1100,1100,1100,1100
1200,1200,1200,1200,1200,1200,1200,1200
1300,1300,1300,1300,1300,1300,1300,1300
1400,1400,1400,1400,1400,1400,1400,1400
1500,1500,1500,1500,1500,1500,1500,1500
1600,1600,1600,1600,1600,1600,1600,1600
1700,1700,1700,1700,1700,1700,1700,1700
1800,1800,1800,1800,1800,1800,1800,1800
1900,1900,1900,1900,1900,1900,1900,1900
2000,2000,2000,2000,2000,2000,2000,2000
2100,2100,2100,2100,2100,2100,2100,2100
2200,2200,2200,2200,2200,2200,2200,2200
2300,2300,2300,2300,2300,2300,2300,2300
2400,2400,2400,2400,2400,2400,2400,2400
2500,2500,2500,2500,2500,2500,2500,2500
2600,2600,2600,2600,2600,2600,2600,2600
2700,2700,2700,2700,2700,2700,2700,2700
2800,2800,2800,2800,2800,2800,2800,2800
2900,2900,2900,2900,2900,2900,2900,2900
3000,3000,3000,3000,3000,3000,3000,3000
3100,3100,3100,3100,3100,3100,3100,3100
3200,3200,3200,3200,3200,3200,3200,3200
3300,3300,3300,3300,3300,3300,3300,3300
3400,3400,3400,3400,3400,3400,3400,3400
3500,3500,3500,3500,3500,3500,3500,3500
3600,3600,3600,3600,3600,3600,3600,3600
3700,3700,3700,3700,3700,3700,3700,3700
3800,3800,3800,3800,3800,3800,3800,3800
3900,3900,3900,3900,3900,3900,3900,3900
4000,4000,4000,4000,4000,4000,4000,4000
4100,4100,4100,4100,4100,4100,4100,4100
4200,4200,4200,4200,4200,4200,4200,4200
4300,4300,4300,4300,4300,4300,4300,4300
4400,4400,4400,4400,4400,4400,4400,4400
4500,4500,4500,4500,4500,4500,4500,4500
4600,4600,4600,4600,4600,4600,4600,4600
4700,4700,4700,4700,4700,4700,4700,4700
4800,4800,4800,4800,4800,4800,4800,4800
4900,4900,4900,4900,4900,4900,4900,4900
5000,5000,5000,5000,5000,5000,5000,5000
5100,5100,5100,5100,5100,5100,5100,5100
5200,5200,5200,5200,5200,5200,5200,5200
5300,5300,5300,5300,5300,5300,5300,5300
5400,5400,5400,5400,5400,5400,5400,5400
5500,5500,5500,5500,5500,5500,5500,5500
5600,5600,5600,5600,5600,5600,5600,5600
5700,5700,5700,5700,5700,5700,5700,5700
5800,5800,5800,5800,5800,5800,5800,5800
5900,5900,5900,5900,5900,5900,5900,5900
6000,6000,6000,6000,6000,6000,6000,6000
6100,6100,6100,6100,6100,6100,6100,6100
6200,6200,6200,6200,6200,6200,6200,6200
6300,6300,6300,6300,6300,6300,6300,6300
6400,6400,6400,6400,6400,6400,6400,6400
6500,6500,6500,6500,6500,6500,6500,6500
6600,6600,6600,6600,6600,6600,6600,6600
6700,6700,6700,6700,6700,6700,6700,6700
6800,6800,6800,6800,6800,6800,6800,6800
6900,6900,6900,6900,6900,6900,6900,6900
7000,7000,7000,7000,7000,7000,7000,7000
7100,7100,7100,7100,7100,7100,7100,7100
7200,7200,7200,7200,7200,7200,7200,7200
7300,7300,7300,7300,7300,7300,7300,7300
7400,7400,7400,7400,7400,7400,7400,7400
7500,7500,7500,7500,7500,7500,7500,7500
7600,7600,7600,7600,7600,7600,7600,7600
7700,7700,7700,7700,7700,7700,7700,7700
7800,7800,7800,7800,7800,7800,7800,7800
7900,7900,7900,7900,7900,7900,7900,7900
8000,8000,8000,8000,8000,8000,8000,8000
8100,8100,8100,8100,8100,8100,8100,8100
8200,8200,8200,8200,8200,8200,8200,8200
8300,8300,8300,8300,8300,8300,8300,8300
8400,8400,8400,8400,8400,8400,8400,8400
8500,8500,8500,8500,8500,8500,8500,8500
8600,8600,8600,8600,8600,8600,8600,8600
8700,8700,8700,8700,8700,8700,8700,8700
8800,8800,8800,8800,8800,8800,8800,8800
8900,8900,8900,8900,8900,8900,8900,8900
9000,9000,9000,9000,9000,9000,9000,9000
9100,9100,9100,9100,9100,9100,9100,9100
9200,9200,9200,9200,9200,9200,9200,9200
9300,9300,9300,9300,9300,9300,9300,9300
9400,9400,9400,9400,9400,9400,9400,9400
9500,9500,9500,9500,9500,9500,9500,9500
9600,9600,9600,9600,9600,9600,9600,9600
9700,9700,9700,9700,9700,9700,9700,9700
9800,9800,9800,9800,9800,9800,9800,9800
9900,9900,9900,9900,9900,9900,9900,9900
10000,10000,10000,10000,10000,10000,10000,10000
10100,10100,10100,10100,10100,10100,10100,10100
10200,10200,10200,10200,10200,10200,10200,10200
10300,10300,10300,10300,10300,10300,10300,10300
10400,10400,10400,10400,10400,10400,10400,10400
10500,10500,10500,10500,10500,10500,10500,10500
10600,10600,10600,10600,10600,10600,10600,10600
10700,10700,10700,10700,10700,10700,10700,10700
10800,10800,10800,10800,10800,10800,10800,10800
10900,10900,10900,10900,10900,10900,10900,10900
11000,11000,11000,11000,11000,11000,11000,11000
11100,11100,11100,11100,11100,11100,11100,11100
11200,11200,11200,11200,11200,11200,11200,11200
11300,11300,11300,11300,11300,11300,11300,11300
11400,11400,11400,11400,11400,11400,11400,11400
11500,11500,11500,11500,11500,11500,11500,11500
11600,11600,11600,11600,11600,11600,11600,11600
11700,11700,11700,11700,11700,11700,11700,11700
11800,11800,11800,11800,11800,11800,11800,11800
11900,11900,11900,11900,11900,11900,11900,11900
12000,12000,12000,12000,12000,12000,12000,12000
12100,12100,12100,12100,12100,12100,12100,12100
12200,12200,12200,12200,12200,12200,12200,12200
12300,12300,12300,12300,12300,12300,12300,12300
12400,12400,12400,12400,12400,12400,12400,12400
12500,12500,12500,12500,12500,12500,12500,12500
12600,12600,12600,12600,12600,12600,12600,12600
12700,12700,12700,12700,12700,12700,12700,12700
12800,12800,12800,12800,12800,12800,12800,12800
12900,12900,12900,12900,12900,12900,12900,12900
13000,13000,13000,13000,13000,13000,13000,13000
13100,13100,13100,13100,13100,13100,13100,13100
13200,13200,13200,13200,13200,13200,13200,13200
13300,13300,13300,13300,13300,13300,13300,13300
13400,13400,13400,13400,13400,13400,13400,13400
13500,13500,13500,13500,13500,13500,13500,13500
13600,13600,13600,13600,13600,13600,13600,13600
13700,13700,13700,13700,13700,13700,13700,13700
13800,13800,13800,13800,13800,13800,13800,13800
13900,13900,13900,13900,13900,13900,13900,13900
14000,14000,14000,14000,14000,14000,14000,14000
14100,14100,14100,14100,14100,14100,14100,14100
14200,14200,14200,14200,14200,14200,14200,14200
14300,14300,14300,14300,14300,14300,14300,14300
14400,14400,14400,14400,14400,14400,14400,14400
14500,14500,14500,14500,14500,14500,14500,14500
14600,14600,14600,14600,14600,14600,14600,14600
14700,14700,14700,14700,14700,14700,14700,14700
14800,14800,14800,14800,14800,14800,14800,14800
14900,14900,14900,14900,14900,14900,14900,14900
15000,15000,15000,15000,15000,15000,15000,15000
15100,15100,15100,15100,15100,15100,15100,15100
15200,15200,15200,15200,15200,15200,15200,15200
15300,15300,15300,15300,15300,15300,15300,15300
15400,15400,15400,15400,15400,15400,15400,15400
15500,15500,15500,15500,15500,15500,15500,15500
15600,15600,15600,15600,15600,15600,15600,15600
15700,15700,15700,15700,15700,15700,15700,15700
15800,15800,15800,15800,15800,15800,15800,15800
15900,15900,15900,15900,15900,15900,15900,15900
16000,16000,16000,16000,16000,16000,16000,16000
16100,16100,16100,16100,16100,16100,16100,16100
16200,16200,16200,16200,16200,16200,16200,16200
16300,16300,16300,16300,16300,16300,16300,16300
16400,16400,16400,16400,16400,16400,16400,16400
16500,16500,16500,16500,16500,16500,16500,16500
16600,16600,16600,16600,16600,16600,16600,16600
16700,16700,16700,16700,16700,16700,16700,16700
16800,16800,16800,16800,16800,16800,16800,16800
16900,16900,16900,16900,16900,16900,16900,16900
17000,17000,17000,17000,17000,17000,17000,17000
17100,17100,17100,17100,17100,17100,17100,17100
17200,17200,17200,17200,17200,17200,17200,17200
17300,17300,17300,17300,17300,17300,17300,17300
17400,17400,17400,17400,17400,17400,17400,17400
17500,17500,17500,17500,17500,17500,17500,17500
17600,17600,17600,17600,17600,17600,17600,17600
17700,17700,17700,17700,17700,17700,17700,17700
17800,17800,17800,17800,17800,17800,17800,17800
17900,17900,17900,17900,17900,17900,17900,17900
18000,18000,18000,18000,18000,18000,18000,18000
18100,18100,18100,18100,18100,18100,18100,18100
18200,18200,18200,18200,18200,18200,18200,18200
18300,18300,18300,18300,18300,18300,18300,18300
18400,18400,18400,18400,18400,18400,18400,18400
18500,18500,18500,18500,18500,18500,18500,18500
18600,18600,18600,18600,18600,18600,18600,18600
18700,18700,18700,18700,18700,18700,18700,18700
18800,18800,18800,18800,18800,18800,18800,18800
18900,18900,18900,18900,18900,18900,18900,18900
19000,19000,19000,19000,19000,19000,19000,19000
19100,19100,19100,19100,19100,19100,19100,19100
19200,19200,19200,19200,19200,19200,19200,19200
19300,19300,19300,19300,19300,19300,19300,19300
19400,19400,19400,19400,19400,19400,19400,19400
19500,19500,19500,19500,19500,19500,19500,19500
19600,19600,19600,19600,19600,19600,19600,19600
19700,19700,19700,19700,19700,19700,19700,19700
19800,19800,19800,19800,19800,19800,19800,19800
19900,19900,19900,19900,19900,19900,19900,19900
20000,20000,20000,20000,20000,20000,20000,20000
20100,20100,20100,20100,20100,20100,20100,20100
20200,20200,20200,20200,20200,20200,20200,20200
20300,20300,20300,20300,20300,20300,20300,20300
20400,20400,20400,20400,20400,20400,20400,20400
20500,20500,20500,20500,20500,20500,20500,20500
20600,20600,20600,20600,20600,20600,20600,20600
20700,20700,20700,20700,20700,20700,20700,20700
20800,20800,20800,20800,20800,20800,20800,20800
20900,20900,20900,20900,20900,20900,20900,20900
21000,21000,21000,21000,21000,21000,21000,21000
21100,21100,21100,21100,21100,21100,21100,21100
21200,21200,21200,21200,21200,21200,21200,21200
21300,21300,21300,21300,21300,21300,21300,21300
21400,21400,21400,21400,21400,21400,21400,21400
21500,21500,21500,21500,21500,21500,21500,21500
21600,21600,21600,21600,21600,21600,21600,21600
21700,21700,21700,21700,21700,21700,21700,21700
