light_x,light_y,total_energy
120,90,2339900
355,90,2339900
590,90,2339900
0,295,2339900
240,295,2339900
470,295,2339900
700,295,2339900
120,500,2339900
355,500,2339900
590,500,2339900
945,90,2339900
945,500,2339900
1060,90,2339900
1060,500,2339900
1295,90,2339900
1295,500,2339900
930,295,2339900
1160,295,2339900
1390,295,2339900
120,910,2339900
355,910,2339900
590,910,2339900
0,590,2339900
240,590,2339900
470,590,2339900
700,590,2339900
0,885,2339900
240,885,2339900
470,885,2339900
700,885,2339900
0,1180,2339900
240,1180,2339900
470,1180,2339900
700,1180,2339900
940,590,2339900
1180,590,2339900
1400,590,2339900
940,885,2339900
1180,885,2339900
1400,885,2339900
0,1180,2339900
940,1180,2339900
1180,1180,2339900
1400,1180,2339900
