120_90_accumulated_energy,355_90_accumulated_energy,590_90_accumulated_energy,0_295_accumulated_energy,240_295_accumulated_energy,470_295_accumulated_energy,700_295_accumulated_energy,120_500_accumulated_energy,355_500_accumulated_energy,590_500_accumulated_energy
100.0,100.0,70.0,100.0,100.0,100.0,100.0,70.0,100.0,100.0
200.0,200.0,140.0,200.0,200.0,200.0,200.0,140.0,200.0,200.0
300.0,300.0,210.0,300.0,300.0,300.0,300.0,210.0,300.0,300.0
400.0,400.0,280.0,400.0,400.0,400.0,400.0,280.0,400.0,400.0
500.0,500.0,350.0,500.0,500.0,500.0,500.0,350.0,500.0,500.0
600.0,600.0,420.0,600.0,600.0,600.0,600.0,420.0,600.0,600.0
700.0,700.0,490.0,700.0,700.0,700.0,700.0,490.0,700.0,700.0
800.0,800.0,560.0,800.0,800.0,800.0,800.0,560.0,800.0,800.0
900.0,900.0,630.0,900.0,900.0,900.0,900.0,630.0,900.0,900.0
1000.0,1000.0,700.0,1000.0,1000.0,1000.0,1000.0,700.0,1000.0,1000.0
1100.0,1100.0,770.0,1100.0,1100.0,1100.0,1100.0,770.0,1100.0,1100.0
1200.0,1200.0,840.0,1200.0,1200.0,1200.0,1200.0,840.0,1200.0,1200.0
1300.0,1300.0,910.0,1300.0,1300.0,1300.0,1300.0,910.0,1300.0,1300.0
1400.0,1400.0,980.0,1400.0,1400.0,1400.0,1400.0,980.0,1400.0,1400.0
1500.0,1500.0,1050.0,1500.0,1500.0,1500.0,1500.0,1050.0,1500.0,1500.0
1600.0,1600.0,1120.0,1600.0,1600.0,1600.0,1600.0,1120.0,1600.0,1600.0
1700.0,1700.0,1190.0,1700.0,1700.0,1700.0,1700.0,1190.0,1700.0,1700.0
1800.0,1800.0,1260.0,1800.0,1800.0,1800.0,1800.0,1260.0,1800.0,1800.0
1900.0,1900.0,1330.0,1900.0,1900.0,1900.0,1900.0,1330.0,1900.0,1900.0
2000.0,2000.0,1400.0,2000.0,2000.0,2000.0,2000.0,1400.0,2000.0,2000.0
2100.0,2100.0,1470.0,2100.0,2100.0,2100.0,2100.0,1470.0,2100.0,2100.0
2200.0,2200.0,1540.0,2200.0,2200.0,2200.0,2200.0,1540.0,2200.0,2200.0
2300.0,2300.0,1610.0,2300.0,2300.0,2300.0,2300.0,1610.0,2300.0,2300.0
2400.0,2400.0,1680.0,2400.0,2400.0,2400.0,2400.0,1680.0,2400.0,2400.0
2500.0,2500.0,1750.0,2500.0,2500.0,2500.0,2500.0,1750.0,2500.0,2500.0
2600.0,2600.0,1820.0,2600.0,2600.0,2600.0,2600.0,1820.0,2600.0,2600.0
2700.0,2700.0,1890.0,2700.0,2700.0,2700.0,2700.0,1890.0,2700.0,2700.0
2800.0,2800.0,1960.0,2800.0,2800.0,2800.0,2800.0,1960.0,2800.0,2800.0
2900.0,2900.0,2030.0,2900.0,2900.0,2900.0,2900.0,2030.0,2900.0,2900.0
3000.0,3000.0,2100.0,3000.0,3000.0,3000.0,3000.0,2100.0,3000.0,3000.0
3100.0,3100.0,2170.0,3100.0,3100.0,3100.0,3100.0,2170.0,3100.0,3100.0
3200.0,3200.0,2240.0,3200.0,3200.0,3200.0,3200.0,2240.0,3200.0,3200.0
3300.0,3300.0,2310.0,3300.0,3300.0,3300.0,3300.0,2310.0,3300.0,3300.0
3400.0,3400.0,2380.0,3400.0,3400.0,3400.0,3400.0,2380.0,3400.0,3400.0
3500.0,3500.0,2450.0,3500.0,3500.0,3500.0,3500.0,2450.0,3500.0,3500.0
3600.0,3600.0,2520.0,3600.0,3600.0,3600.0,3600.0,2520.0,3600.0,3600.0
3700.0,3700.0,2590.0,3700.0,3700.0,3700.0,3700.0,2590.0,3700.0,3700.0
3800.0,3800.0,2660.0,3800.0,3800.0,3800.0,3800.0,2660.0,3800.0,3800.0
3900.0,3900.0,2730.0,3900.0,3900.0,3900.0,3900.0,2730.0,3900.0,3900.0
4000.0,4000.0,2800.0,4000.0,4000.0,4000.0,4000.0,2800.0,4000.0,4000.0
4100.0,4100.0,2870.0,4100.0,4100.0,4100.0,4100.0,2870.0,4100.0,4100.0
4200.0,4200.0,2940.0,4200.0,4200.0,4200.0,4200.0,2940.0,4200.0,4200.0
4300.0,4300.0,3010.0,4300.0,4300.0,4300.0,4300.0,3010.0,4300.0,4300.0
4400.0,4400.0,3080.0,4400.0,4400.0,4400.0,4400.0,3080.0,4400.0,4400.0
4500.0,4500.0,3150.0,4500.0,4500.0,4500.0,4500.0,3150.0,4500.0,4500.0
4600.0,4600.0,3220.0,4600.0,4600.0,4600.0,4600.0,3220.0,4600.0,4600.0
4700.0,4700.0,3290.0,4700.0,4700.0,4700.0,4700.0,3290.0,4700.0,4700.0
4800.0,4800.0,3360.0,4800.0,4800.0,4800.0,4800.0,3360.0,4800.0,4800.0
4900.0,4900.0,3430.0,4900.0,4900.0,4900.0,4900.0,3430.0,4900.0,4900.0
5000.0,5000.0,3500.0,5000.0,5000.0,5000.0,5000.0,3500.0,5000.0,5000.0
5100.0,5100.0,3570.0,5100.0,5100.0,5100.0,5100.0,3570.0,5100.0,5100.0
5200.0,5200.0,3640.0,5200.0,5200.0,5200.0,5200.0,3640.0,5200.0,5200.0
5300.0,5300.0,3710.0,5300.0,5300.0,5300.0,5300.0,3710.0,5300.0,5300.0
5400.0,5400.0,3780.0,5400.0,5400.0,5400.0,5400.0,3780.0,5400.0,5400.0
5500.0,5500.0,3850.0,5500.0,5500.0,5500.0,5500.0,3850.0,5500.0,5500.0
5600.0,5600.0,3920.0,5600.0,5600.0,5600.0,5600.0,3920.0,5600.0,5600.0
5700.0,5700.0,3990.0,5700.0,5700.0,5700.0,5700.0,3990.0,5700.0,5700.0
5800.0,5800.0,4060.0,5800.0,5800.0,5800.0,5800.0,4060.0,5800.0,5800.0
5900.0,5900.0,4130.0,5900.0,5900.0,5900.0,5900.0,4130.0,5900.0,5900.0
6000.0,6000.0,4200.0,6000.0,6000.0,6000.0,6000.0,4200.0,6000.0,6000.0
6100.0,6100.0,4270.0,6100.0,6100.0,6100.0,6100.0,4270.0,6100.0,6100.0
6200.0,6200.0,4340.0,6200.0,6200.0,6200.0,6200.0,4340.0,6200.0,6200.0
6300.0,6300.0,4410.0,6300.0,6300.0,6300.0,6300.0,4410.0,6300.0,6300.0
6400.0,6400.0,4480.0,6400.0,6400.0,6400.0,6400.0,4480.0,6400.0,6400.0
6500.0,6500.0,4550.0,6500.0,6500.0,6500.0,6500.0,4550.0,6500.0,6500.0
6600.0,6600.0,4620.0,6600.0,6600.0,6600.0,6600.0,4620.0,6600.0,6600.0
6700.0,6700.0,4690.0,6700.0,6700.0,6700.0,6700.0,4690.0,6700.0,6700.0
6800.0,6800.0,4760.0,6800.0,6800.0,6800.0,6800.0,4760.0,6800.0,6800.0
6900.0,6900.0,4830.0,6900.0,6900.0,6900.0,6900.0,4830.0,6900.0,6900.0
7000.0,7000.0,4900.0,7000.0,7000.0,7000.0,7000.0,4900.0,7000.0,7000.0
7100.0,7100.0,4970.0,7100.0,7100.0,7100.0,7100.0,4970.0,7100.0,7100.0
7200.0,7200.0,5040.0,7200.0,7200.0,7200.0,7200.0,5040.0,7200.0,7200.0
7300.0,7300.0,5110.0,7300.0,7300.0,7300.0,7300.0,5110.0,7300.0,7300.0
7400.0,7400.0,5180.0,7400.0,7400.0,7400.0,7400.0,5180.0,7400.0,7400.0
7500.0,7500.0,5250.0,7500.0,7500.0,7500.0,7500.0,5250.0,7500.0,7500.0
7600.0,7600.0,5320.0,7600.0,7600.0,7600.0,7600.0,5320.0,7600.0,7600.0
7700.0,7700.0,5390.0,7700.0,7700.0,7700.0,7700.0,5390.0,7700.0,7700.0
7800.0,7800.0,5460.0,7800.0,7800.0,7800.0,7800.0,5460.0,7800.0,7800.0
7900.0,7900.0,5530.0,7900.0,7900.0,7900.0,7900.0,5530.0,7900.0,7900.0
8000.0,8000.0,5600.0,8000.0,8000.0,8000.0,8000.0,5600.0,8000.0,8000.0
8100.0,8100.0,5670.0,8100.0,8100.0,8100.0,8100.0,5670.0,8100.0,8100.0
8200.0,8200.0,5740.0,8200.0,8200.0,8200.0,8200.0,5740.0,8200.0,8200.0
8300.0,8300.0,5810.0,8300.0,8300.0,8300.0,8300.0,5810.0,8300.0,8300.0
8400.0,8400.0,5880.0,8400.0,8400.0,8400.0,8400.0,5880.0,8400.0,8400.0
8500.0,8500.0,5950.0,8500.0,8500.0,8500.0,8500.0,5950.0,8500.0,8500.0
8600.0,8600.0,6020.0,8600.0,8600.0,8600.0,8600.0,6020.0,8600.0,8600.0
8700.0,8700.0,6090.0,8700.0,8700.0,8700.0,8700.0,6090.0,8700.0,8700.0
8800.0,8800.0,6160.0,8800.0,8800.0,8800.0,8800.0,6160.0,8800.0,8800.0
8900.0,8900.0,6230.0,8900.0,8900.0,8900.0,8900.0,6230.0,8900.0,8900.0
9000.0,9000.0,6300.0,9000.0,9000.0,9000.0,9000.0,6300.0,9000.0,9000.0
9100.0,9100.0,6370.0,9100.0,9100.0,9100.0,9100.0,6370.0,9100.0,9100.0
9200.0,9200.0,6440.0,9200.0,9200.0,9200.0,9200.0,6440.0,9200.0,9200.0
9300.0,9300.0,6510.0,9300.0,9300.0,9300.0,9300.0,6510.0,9300.0,9300.0
9400.0,9400.0,6580.0,9400.0,9400.0,9400.0,9400.0,6580.0,9400.0,9400.0
9500.0,9500.0,6650.0,9500.0,9500.0,9500.0,9500.0,6650.0,9500.0,9500.0
9600.0,9600.0,6720.0,9600.0,9600.0,9600.0,9600.0,6720.0,9600.0,9600.0
9700.0,9700.0,6790.0,9700.0,9700.0,9700.0,9700.0,6790.0,9700.0,9700.0
9800.0,9800.0,6860.0,9800.0,9800.0,9800.0,9800.0,6860.0,9800.0,9800.0
9900.0,9900.0,6930.0,9900.0,9900.0,9900.0,9900.0,6930.0,9900.0,9900.0
10000.0,10000.0,7000.0,10000.0,10000.0,10000.0,10000.0,7000.0,10000.0,10000.0
10100.0,10100.0,7070.0,10100.0,10100.0,10100.0,10100.0,7070.0,10100.0,10100.0
10200.0,10200.0,7140.0,10200.0,10200.0,10200.0,10200.0,7140.0,10200.0,10200.0
10300.0,10300.0,7210.0,10300.0,10300.0,10300.0,10300.0,7210.0,10300.0,10300.0
10400.0,10400.0,7280.0,10400.0,10400.0,10400.0,10400.0,7280.0,10400.0,10400.0
10500.0,10500.0,7350.0,10500.0,10500.0,10500.0,10500.0,7350.0,10500.0,10500.0
10600.0,10600.0,7420.0,10600.0,10600.0,10600.0,10600.0,7420.0,10600.0,10600.0
10700.0,10700.0,7490.0,10700.0,10700.0,10700.0,10700.0,7490.0,10700.0,10700.0
10800.0,10800.0,7560.0,10800.0,10800.0,10800.0,10800.0,7560.0,10800.0,10800.0
10900.0,10900.0,7630.0,10900.0,10900.0,10900.0,10900.0,7630.0,10900.0,10900.0
11000.0,11000.0,7700.0,11000.0,11000.0,11000.0,11000.0,7700.0,11000.0,11000.0
11100.0,11100.0,7770.0,11100.0,11100.0,11100.0,11100.0,7770.0,11100.0,11100.0
11200.0,11200.0,7840.0,11200.0,11200.0,11200.0,11200.0,7840.0,11200.0,11200.0
11300.0,11300.0,7910.0,11300.0,11300.0,11300.0,11300.0,7910.0,11300.0,11300.0
11400.0,11400.0,7980.0,11400.0,11400.0,11400.0,11400.0,7980.0,11400.0,11400.0
11500.0,11500.0,8050.0,11500.0,11500.0,11500.0,11500.0,8050.0,11500.0,11500.0
11600.0,11600.0,8120.0,11600.0,11600.0,11600.0,11600.0,8120.0,11600.0,11600.0
11700.0,11700.0,8190.0,11700.0,11700.0,11700.0,11700.0,8190.0,11700.0,11700.0
11800.0,11800.0,8260.0,11800.0,11800.0,11800.0,11800.0,8260.0,11800.0,11800.0
11900.0,11900.0,8330.0,11900.0,11900.0,11900.0,11900.0,8330.0,11900.0,11900.0
12000.0,12000.0,8400.0,12000.0,12000.0,12000.0,12000.0,8400.0,12000.0,12000.0
12100.0,12100.0,8470.0,12100.0,12100.0,12100.0,12100.0,8470.0,12100.0,12100.0
12200.0,12200.0,8540.0,12200.0,12200.0,12200.0,12200.0,8540.0,12200.0,12200.0
12300.0,12300.0,8610.0,12300.0,12300.0,12300.0,12300.0,8610.0,12300.0,12300.0
12400.0,12400.0,8680.0,12400.0,12400.0,12400.0,12400.0,8680.0,12400.0,12400.0
12500.0,12500.0,8750.0,12500.0,12500.0,12500.0,12500.0,8750.0,12500.0,12500.0
12600.0,12600.0,8820.0,12600.0,12600.0,12600.0,12600.0,8820.0,12600.0,12600.0
12700.0,12700.0,8890.0,12700.0,12700.0,12700.0,12700.0,8890.0,12700.0,12700.0
12800.0,12800.0,8960.0,12800.0,12800.0,12800.0,12800.0,8960.0,12800.0,12800.0
12900.0,12900.0,9030.0,12900.0,12900.0,12900.0,12900.0,9030.0,12900.0,12900.0
13000.0,13000.0,9100.0,13000.0,13000.0,13000.0,13000.0,9100.0,13000.0,13000.0
13100.0,13100.0,9170.0,13100.0,13100.0,13100.0,13100.0,9170.0,13100.0,13100.0
13200.0,13200.0,9240.0,13200.0,13200.0,13200.0,13200.0,9240.0,13200.0,13200.0
13300.0,13300.0,9310.0,13300.0,13300.0,13300.0,13300.0,9310.0,13300.0,13300.0
13400.0,13400.0,9380.0,13400.0,13400.0,13400.0,13400.0,9380.0,13400.0,13400.0
13500.0,13500.0,9450.0,13500.0,13500.0,13500.0,13500.0,9450.0,13500.0,13500.0
13600.0,13600.0,9520.0,13600.0,13600.0,13600.0,13600.0,9520.0,13600.0,13600.0
13700.0,13700.0,9590.0,13700.0,13700.0,13700.0,13700.0,9590.0,13700.0,13700.0
13800.0,13800.0,9660.0,13800.0,13800.0,13800.0,13800.0,9660.0,13800.0,13800.0
13900.0,13900.0,9730.0,13900.0,13900.0,13900.0,13900.0,9730.0,13900.0,13900.0
14000.0,14000.0,9800.0,14000.0,14000.0,14000.0,14000.0,9800.0,14000.0,14000.0
14100.0,14100.0,9870.0,14100.0,14100.0,14100.0,14100.0,9870.0,14100.0,14100.0
14200.0,14200.0,9940.0,14200.0,14200.0,14200.0,14200.0,9940.0,14200.0,14200.0
14300.0,14300.0,10010.0,14300.0,14300.0,14300.0,14300.0,10010.0,14300.0,14300.0
14400.0,14400.0,10080.0,14400.0,14400.0,14400.0,14400.0,10080.0,14400.0,14400.0
14500.0,14500.0,10150.0,14500.0,14500.0,14500.0,14500.0,10150.0,14500.0,14500.0
14600.0,14600.0,10220.0,14600.0,14600.0,14600.0,14600.0,10220.0,14600.0,14600.0
14700.0,14700.0,10290.0,14700.0,14700.0,14700.0,14700.0,10290.0,14700.0,14700.0
14800.0,14800.0,10360.0,14800.0,14800.0,14800.0,14800.0,10360.0,14800.0,14800.0
14900.0,14900.0,10430.0,14900.0,14900.0,14900.0,14900.0,10430.0,14900.0,14900.0
15000.0,15000.0,10500.0,15000.0,15000.0,15000.0,15000.0,10500.0,15000.0,15000.0
15100.0,15100.0,10570.0,15100.0,15100.0,15100.0,15100.0,10570.0,15100.0,15100.0
15200.0,15200.0,10640.0,15200.0,15200.0,15200.0,15200.0,10640.0,15200.0,15200.0
15300.0,15300.0,10710.0,15300.0,15300.0,15300.0,15300.0,10710.0,15300.0,15300.0
