light_x,light_y,total_energy
120,90,2339900.0
355,90,2177900.0
590,90,1853930.0
0,295,2123900.0
240,295,2339900.0
470,295,2231900.0
700,295,2285900.0
120,500,2231900.0
355,500,1745930.0
590,500,2231900.0
945,90,2177900.0
945,500,2177900.0
1060,90,1853900.0
1060,500,2177900.0
1295,90,1637930.0
1295,500,2123900.0
930,295,2015900.0
1160,295,2339900.0
1390,295,1637930.0
120,910,1637930.0
355,910,1583930.0
590,910,2231900.0
0,590,1637930.0
240,590,2177900.0
470,590,2339900.0
700,590,1961930.0
0,885,1313930.0
240,885,1961900.0
470,885,2231900.0
700,885,1583930.0
0,1180,1493930.0
240,1180,2033900.0
470,1180,1763930.0
700,1180,1493930.0
940,590,2123900.0
1180,590,2069900.0
1400,590,1745930.0
940,885,1529930.0
1180,885,1367930.0
1400,885,1025960.0
0,1180,1493930.0
940,1180,863960.0
1180,1180,467980.0
1400,1180,467980.0
