150_75_accumulated_energy,260_75_accumulated_energy,450_75_accumulated_energy,560_75_accumulated_energy,150_215_accumulated_energy,150_355_accumulated_energy,290_215_accumulated_energy,290_355_accumulated_energy,420_215_accumulated_energy,420_355_accumulated_energy,560_215_accumulated_energy,560_355_accumulated_energy,150_500_accumulated_energy,290_500_accumulated_energy,420_500_accumulated_energy,560_500_accumulated_energy
100,100,100,100,0,100,100,100,100,100,100,100,100,0,100,100
200,200,200,200,0,200,200,200,200,200,200,200,200,0,200,200
300,300,300,300,0,300,300,300,300,300,300,300,300,0,300,300
400,400,400,400,0,400,400,400,400,400,400,400,400,0,400,400
500,500,500,500,0,500,500,500,500,500,500,500,500,0,500,500
600,600,600,600,0,600,600,600,600,600,600,600,600,0,600,600
700,700,700,700,0,700,700,700,700,700,700,700,700,0,700,700
800,800,800,800,0,800,800,800,800,800,800,800,800,0,800,800
900,900,900,900,0,900,900,900,900,900,900,900,900,0,900,900
1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000
1100,1100,1100,1100,0,1100,1100,1100,1100,1100,1100,1100,1100,0,1100,1100
1200,1200,1200,1200,0,1200,1200,1200,1200,1200,1200,1200,1200,0,1200,1200
1300,1300,1300,1300,0,1300,1300,1300,1300,1300,1300,1300,1300,0,1300,1300
1400,1400,1400,1400,0,1400,1400,1400,1400,1400,1400,1400,1400,0,1400,1400
1500,1500,1500,1500,0,1500,1500,1500,1500,1500,1500,1500,1500,0,1500,1500
1600,1600,1600,1600,0,1600,1600,1600,1600,1600,1600,1600,1600,0,1600,1600
1700,1700,1700,1700,0,1700,1700,1700,1700,1700,1700,1700,1700,0,1700,1700
1800,1800,1800,1800,0,1800,1800,1800,1800,1800,1800,1800,1800,0,1800,1800
1900,1900,1900,1900,0,1900,1900,1900,1900,1900,1900,1900,1900,0,1900,1900
2000,2000,2000,2000,0,2000,2000,2000,2000,2000,2000,2000,2000,0,2000,2000
2100,2100,2100,2100,0,2100,2100,2100,2100,2100,2100,2100,2100,0,2100,2100
2200,2200,2200,2200,0,2200,2200,2200,2200,2200,2200,2200,2200,0,2200,2200
2300,2300,2300,2300,0,2300,2300,2300,2300,2300,2300,2300,2300,0,2300,2300
2400,2400,2400,2400,0,2400,2400,2400,2400,2400,2400,2400,2400,0,2400,2400
2500,2500,2500,2500,0,2500,2500,2500,2500,2500,2500,2500,2500,0,2500,2500
2600,2600,2600,2600,0,2600,2600,2600,2600,2600,2600,2600,2600,0,2600,2600
2700,2700,2700,2700,0,2700,2700,2700,2700,2700,2700,2700,2700,0,2700,2700
2800,2800,2800,2800,0,2800,2800,2800,2800,2800,2800,2800,2800,0,2800,2800
2900,2900,2900,2900,0,2900,2900,2900,2900,2900,2900,2900,2900,0,2900,2900
3000,3000,3000,3000,0,3000,3000,3000,3000,3000,3000,3000,3000,0,3000,3000
3100,3100,3100,3100,0,3100,3100,3100,3100,3100,3100,3100,3100,0,3100,3100
3200,3200,3200,3200,0,3200,3200,3200,3200,3200,3200,3200,3200,0,3200,3200
3300,3300,3300,3300,0,3300,3300,3300,3300,3300,3300,3300,3300,0,3300,3300
3400,3400,3400,3400,0,3400,3400,3400,3400,3400,3400,3400,3400,0,3400,3400
3500,3500,3500,3500,0,3500,3500,3500,3500,3500,3500,3500,3500,0,3500,3500
3600,3600,3600,3600,0,3600,3600,3600,3600,3600,3600,3600,3600,0,3600,3600
3700,3700,3700,3700,0,3700,3700,3700,3700,3700,3700,3700,3700,0,3700,3700
3800,3800,3800,3800,0,3800,3800,3800,3800,3800,3800,3800,3800,0,3800,3800
3900,3900,3900,3900,0,3900,3900,3900,3900,3900,3900,3900,3900,0,3900,3900
4000,4000,4000,4000,0,4000,4000,4000,4000,4000,4000,4000,4000,0,4000,4000
4100,4100,4100,4100,0,4100,4100,4100,4100,4100,4100,4100,4100,0,4100,4100
4200,4200,4200,4200,0,4200,4200,4200,4200,4200,4200,4200,4200,0,4200,4200
4300,4300,4300,4300,0,4300,4300,4300,4300,4300,4300,4300,4300,0,4300,4300
4400,4400,4400,4400,0,4400,4400,4400,4400,4400,4400,4400,4400,0,4400,4400
4500,4500,4500,4500,0,4500,4500,4500,4500,4500,4500,4500,4500,0,4500,4500
4600,4600,4600,4600,0,4600,4600,4600,4600,4600,4600,4600,4600,0,4600,4600
4700,4700,4700,4700,0,4700,4700,4700,4700,4700,4700,4700,4700,0,4700,4700
4800,4800,4800,4800,0,4800,4800,4800,4800,4800,4800,4800,4800,0,4800,4800
4900,4900,4900,4900,0,4900,4900,4900,4900,4900,4900,4900,4900,0,4900,4900
